word,vocab_rank,semantic_rank,zone,pc1,pc2
อ่อนน้อม,15533,10510,red,-0.0825173132884148,-0.16019481961166426
เดชะ,15534,36485,red,-0.04915279827540606,0.09584848629525905
เบญจมบพิตร,15535,16698,red,-0.09107918031196506,-0.024027573826869972
เปรียบเปรย,15536,28857,red,-0.07617478431739723,-0.14087379339351289
เป็นอัตรา,15537,11187,red,-0.12718971626172915,-0.11756066247476181
เรียส์,15538,18588,red,-0.054828887997872416,0.035583859297992265
เวค,15539,23087,red,-0.05476186891183085,0.1972978438920195
แกลลอน,15540,22556,red,-0.13376468591202834,-0.04037993706267138
แนะนำตัว,15541,25630,red,-0.15207096655940297,-0.04580866284141385
แบบสอบถาม,15542,35008,red,-0.0979235788306036,-0.18254163709692062
แปลกแยก,15543,32562,red,-0.14326892497805868,-0.18033241285334983
ไม้กวาด,15544,19111,red,-0.09200738260686832,-0.08298849459552349
ไหวพริบ,15545,28885,red,-0.16624955023964086,-0.18931201327047956
การปิดกั้น,15546,12889,red,-0.1415808031981214,-0.15794913070228175
ขาดไม่ได้,15547,4903,red,-0.113160295372407,-0.22544317726181998
ข้าวเจ้า,15548,1171,yellow,-0.11061297797356597,-0.0951679596647939
ความทุกข์ทรมาน,15549,3489,red,-0.14414197748642532,-0.1722168055811631
คาดคะเน,15550,3651,red,-0.11076499109293776,-0.17598984398164125
คเกอร์,15551,31209,red,-0.050700292306049194,0.1678995528135521
ซิป,15552,28478,red,-0.03566173134354698,0.24986793655792788
ทอก,15553,35825,red,-0.03841835277431283,0.19402778748863478
ทีโอที,15554,28630,red,-0.0736732226932138,0.10645399140633277
นพดล,15555,37475,red,-0.08928139449713916,0.018180420015257756
นเรนทร,15556,29526,red,-0.0873105442144631,0.08191787263919978
ประไพ,15557,8680,red,-0.029005296979371237,0.07280133716723565
ผุพัง,15558,13288,red,-0.1422337893453496,-0.18074069389739683
พงศา,15559,25283,red,-0.04284213380309112,0.18333359074324018
พื้นที่เพาะปลูก,15560,1703,red,-0.16513309273986265,-0.13848497917562144
ฟีเวอร์,15561,33514,red,-0.011097080691361968,0.06419293006348563
มหาอุปราชา,15562,19505,red,-0.09449591003883259,0.04507461966580256
มิยางิ,15563,40086,red,-0.15922470186053986,0.0575400783355394
ระดับการศึกษา,15564,2269,red,-0.12761835638172914,-0.1165223928610963
รุจ,15565,25899,red,-0.006197082621911961,0.16997947434356572
